file,speaker_id,wer
speaker_18/videos/18_daiki_0_111_111.txt,18,0.933333
speaker_18/videos/18_daiki_0_112_112.txt,18,0.928962
speaker_18/videos/18_daiki_0_11_11.txt,18,0.937173
speaker_18/videos/18_daiki_0_12_12.txt,18,0.927273
speaker_18/videos/18_daiki_0_13_13.txt,18,0.943299
speaker_18/videos/18_daiki_0_14_14.txt,18,0.964126
speaker_18/videos/18_daiki_0_15_15.txt,18,1.241525
speaker_18/videos/18_daiki_0_16_16.txt,18,0.995690
speaker_18/videos/18_daiki_0_1_1.txt,18,0.903061
speaker_18/videos/18_daiki_0_2_2.txt,18,0.904762
speaker_18/videos/18_daiki_0_3_3.txt,18,0.883249
speaker_18/videos/18_daiki_0_5_5.txt,18,0.961722
speaker_19/videos/19_jaime_0_103_103.txt,19,0.916256
speaker_19/videos/19_jaime_0_104_104.txt,19,0.898618
speaker_19/videos/19_jaime_0_10_10.txt,19,0.917647
speaker_19/videos/19_jaime_0_111_111.txt,19,0.951389
speaker_19/videos/19_jaime_0_112_112.txt,19,0.923077
speaker_19/videos/19_jaime_0_11_11.txt,19,0.901639
speaker_19/videos/19_jaime_0_12_12.txt,19,0.920930
speaker_19/videos/19_jaime_0_13_13.txt,19,0.910053
speaker_19/videos/19_jaime_0_14_14.txt,19,0.938389
speaker_19/videos/19_jaime_0_15_15.txt,19,0.903930
speaker_19/videos/19_jaime_0_16_16.txt,19,0.901345
speaker_19/videos/19_jaime_0_1_1.txt,19,0.929348
speaker_19/videos/19_jaime_0_2_2.txt,19,0.889952
speaker_19/videos/19_jaime_0_3_3.txt,19,0.914439
speaker_19/videos/19_jaime_0_4_4.txt,19,0.919598
speaker_19/videos/19_jaime_0_5_5.txt,19,0.938144
speaker_2/videos/2_scott_0_100_100.txt,2,0.915730
speaker_2/videos/2_scott_0_101_101.txt,2,0.900552
speaker_2/videos/2_scott_0_102_102.txt,2,0.916201
speaker_2/videos/2_scott_0_103_103.txt,2,0.919355
speaker_2/videos/2_scott_0_104_104.txt,2,0.900000
speaker_2/videos/2_scott_0_105_105.txt,2,0.887417
speaker_2/videos/2_scott_0_106_106.txt,2,0.925714
speaker_2/videos/2_scott_0_107_107.txt,2,0.931298
speaker_2/videos/2_scott_0_109_109.txt,2,0.880795
speaker_2/videos/2_scott_0_10_10.txt,2,0.913043
speaker_2/videos/2_scott_0_110_110.txt,2,0.917197
speaker_2/videos/2_scott_0_111_111.txt,2,0.958904
speaker_2/videos/2_scott_0_112_112.txt,2,0.936047
speaker_2/videos/2_scott_0_113_113.txt,2,0.924812
speaker_2/videos/2_scott_0_114_114.txt,2,0.932515
speaker_20/videos/20_li_0_103_103.txt,20,0.922374
speaker_20/videos/20_li_0_104_104.txt,20,0.929204
speaker_20/videos/20_li_0_10_10.txt,20,0.916667
speaker_20/videos/20_li_0_111_111.txt,20,0.949045
speaker_20/videos/20_li_0_112_112.txt,20,0.964497
speaker_20/videos/20_li_0_11_11.txt,20,1.005102
speaker_20/videos/20_li_0_12_12.txt,20,0.938326
speaker_20/videos/20_li_0_13_13.txt,20,0.945545
speaker_20/videos/20_li_0_14_14.txt,20,0.981900
speaker_20/videos/20_li_0_15_15.txt,20,1.057522
speaker_20/videos/20_li_0_16_16.txt,20,0.934211
speaker_20/videos/20_li_0_1_1.txt,20,0.939394
speaker_20/videos/20_li_0_2_2.txt,20,0.920930
speaker_20/videos/20_li_0_3_3.txt,20,0.930348
speaker_20/videos/20_li_0_4_4.txt,20,1.056122
speaker_20/videos/20_li_0_5_5.txt,20,0.985437
speaker_21/videos/21_ayana_0_100_100.txt,21,0.897436
speaker_21/videos/21_ayana_0_101_101.txt,21,0.887701
speaker_21/videos/21_ayana_0_102_102.txt,21,0.919540
speaker_21/videos/21_ayana_0_103_103.txt,21,0.913978
speaker_21/videos/21_ayana_0_104_104.txt,21,0.922581
speaker_21/videos/21_ayana_0_105_105.txt,21,0.936364
speaker_21/videos/21_ayana_0_106_106.txt,21,0.990000
speaker_21/videos/21_ayana_0_107_107.txt,21,0.954128
speaker_21/videos/21_ayana_0_108_108.txt,21,0.945122
speaker_21/videos/21_ayana_0_109_109.txt,21,0.902597
speaker_21/videos/21_ayana_0_10_10.txt,21,0.901163
speaker_21/videos/21_ayana_0_110_110.txt,21,0.925373
speaker_21/videos/21_ayana_0_111_111.txt,21,1.081633
speaker_21/videos/21_ayana_0_112_112.txt,21,0.981818
speaker_21/videos/21_ayana_0_113_113.txt,21,0.921260
speaker_22/videos/22_luqi_0_103_103.txt,22,0.923810
speaker_22/videos/22_luqi_0_104_104.txt,22,0.904762
speaker_22/videos/22_luqi_0_10_10.txt,22,0.947977
speaker_22/videos/22_luqi_0_111_111.txt,22,1.078947
speaker_22/videos/22_luqi_0_112_112.txt,22,0.982759
speaker_22/videos/22_luqi_0_11_11.txt,22,0.931937
speaker_22/videos/22_luqi_0_12_12.txt,22,0.898230
speaker_22/videos/22_luqi_0_13_13.txt,22,1.020619
speaker_22/videos/22_luqi_0_14_14.txt,22,0.959091
